SURVEY:  PS1MD
SNID:  PSc530302
IAUC:    UNKNOWN
RA:        242.1782000  deg
DECL:       54.0967833  deg
MWEBV: 0.0068 +- 0.0014 MW E(B-V)
REDSHIFT_FINAL:  0.3380 +- 0.0010  (CMB)
HOSTGAL_LOGMASS: 10.2090 +- 0.3650
SEARCH_PEAKMJD: 56482.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PSc530302.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: dsp055

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 375
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55331.5 z NULL  18.804 15.316 -8.186 0.884
OBS: 55337.5 z NULL  -15.166 24.915 nan -1.784
OBS: 55358.5 z NULL  -37.531 37.057 nan -1.072
OBS: 55361.4 z NULL  -2.169 14.046 nan -7.032
OBS: 55364.4 z NULL  -23.123 32.476 nan -1.525
OBS: 55367.3 z NULL  13.450 10.789 -7.822 0.871
OBS: 55376.4 z NULL  7.061 16.613 -7.122 2.555
OBS: 55379.3 z NULL  -0.790 12.165 nan -16.719
OBS: 55406.4 z NULL  18.451 15.920 -8.165 0.937
OBS: 55409.3 z NULL  -17.725 22.362 nan -1.370
OBS: 55412.4 z NULL  -22.348 18.753 nan -0.911
OBS: 55424.3 z NULL  -14.375 18.832 nan -1.422
OBS: 55436.3 z NULL  -27.676 37.248 nan -1.461
OBS: 55439.2 z NULL  -13.397 12.497 nan -1.013
OBS: 55442.2 z NULL  -4.210 14.711 nan -3.793
OBS: 55445.2 z NULL  4.657 30.969 -6.670 7.220
OBS: 55448.2 z NULL  -5.324 21.810 nan -4.448
OBS: 55451.3 z NULL  32.976 41.838 -8.795 1.378
OBS: 55454.2 z NULL  -7.222 19.614 nan -2.949
OBS: 55457.2 z NULL  -1.886 40.529 nan -23.330
OBS: 55595.7 z NULL  5.334 14.284 -6.818 2.908
OBS: 55673.6 z NULL  13.352 13.498 -7.814 1.098
OBS: 55694.5 z NULL  -67.725 127.313 nan -2.041
OBS: 55724.5 z NULL  48.972 22.513 -9.225 0.499
OBS: 55736.5 z NULL  -13.922 14.330 nan -1.118
OBS: 55739.5 z NULL  31.055 26.579 -8.730 0.929
OBS: 55742.3 z NULL  -11.366 12.312 nan -1.176
OBS: 55745.3 z NULL  -23.352 14.451 nan -0.672
OBS: 55748.3 z NULL  13.595 14.286 -7.833 1.141
OBS: 55751.3 z NULL  -0.122 22.638 nan -202.299
OBS: 55754.3 z NULL  8.332 12.769 -7.302 1.664
OBS: 55760.3 z NULL  5.139 22.155 -6.777 4.681
