objid   iau      type     field   amp   ra             dec             spectel                                          specdate                                                      snz      sndz    galz      galdz    mwebv
f076    2003lf   Ia       wbb9      1   01:08:49.807   -00:44:13.490   MMT+BlueChannel,Keck+LRIS                        2003-12-21.170,2003-12-21.290                                 0.408    0.004   ---       ---      0.03948   
f095    ---      Gal      wcc2      8   02:06:56.203   -03:31:07.936   Keck+LRIS                                        2003-12-20.310                                                ---      ---     0.3130    0.0008   0.02336   
f096    2003lm   Ia       waa3      3   23:24:25.501   -08:45:50.834   Keck+LRIS                                        2003-12-21.280                                                0.413    0.004   0.4080    0.0001   0.04193   
f123    ---      Ia       wcc1      7   02:09:57.282   -03:32:26.609   Keck+LRIS                                        2003-12-21.340                                                0.534    0.009   0.5261    0.0002   0.02410   
f213    ---      Unk      wbb4     12   01:14:50.770   +00:14:35.919   Gemini+GMOS                                      2003-12-19.340                                                ---      ---     ---       ---      0.03231   
f216    2003ll   Ia       wdd4     15   02:35:41.190   -08:06:29.788   Keck+LRIS                                        2003-12-21.440                                                0.595    0.011   0.5958    0.0001   0.03288   
f221    2003lk   Ia       wcc4     14   02:11:12.817   -04:13:52.110   Keck+LRIS                                        2003-12-21.360                                                0.443    0.004   0.4413    0.0003   0.02044   
f231    2003ln   Ia       waa1     13   23:30:27.131   -08:35:46.927   Keck+LRIS                                        2003-12-21.250                                                0.615    0.003   ---       ---      0.02860   
f235    2003lj   Ia       wbb5     13   01:12:10.034   +00:19:51.267   Keck+LRIS                                        2003-12-20.270                                                0.422    0.006   0.4171    0.0006   0.03243   
f244    2003li   Ia       wdd3      8   02:27:47.294   -07:33:46.220   Keck+LRIS                                        2003-12-20.420                                                0.546    0.005   0.5403    0.0002   0.02690   
f247    ---      Gal      wbb8     10   01:12:32.219   +00:31:12.730   VLT+FORS1                                        2005-10-06.150                                                ---      ---     0.4306    0.0003   0.03018   
f301    ---      Ia       wdd6      1   02:27:26.513   -08:42:24.782   Keck+LRIS                                        2003-12-21.420                                                0.514    0.011   ---       ---      0.03007   
f304    ---      Unk      wdd6      2   02:28:23.108   -08:34:22.780   Keck+LRIS                                        2003-12-21.390                                                ---      ---     ---       ---      0.03088   
f308    ---      Ia       wdd6     10   02:29:22.391   -08:37:38.480   Keck+LRIS                                        2003-12-20.370                                                0.388    0.010   ---       ---      0.02955   
f401    ---      Gal      waa1      1   23:29:40.692   -08:56:37.030   VLT+FORS1,Magellan+IMACS                         2005-10-06.030,2006-11-12.066                                 ---      ---     0.2023    0.0002   0.02929   
f441    ---      Unk      wbb6      7   01:08:58.453   +00:22:15.570   Gemini+GMOS                                      2003-12-23.250                                                ---      ---     ---       ---      0.02517   
g001    2004fi   Ia       waa1      1   23:29:45.348   -08:54:36.347   Keck+LRIS                                        2004-10-18.489                                                0.268    0.002   0.2648    0.0002   0.02895   
g004    ---      Ic       wbb4     14   01:15:06.214   +00:23:38.571   Magellan+LDSS2                                   2004-11-11.176                                                0.143    0.006   ---       ---      0.02853   
