"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Source Group","Associated Group/s","Disc. Internal Name","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"17598","AT 2017uw","09:32:30.56","+00:54:17.42","","","","","ATLAS","ATLAS","ATLAS17apr","1","1","","18.57","cyan-ATLAS","2017-01-23 13:01:55","ATLAS_Bot1",""
"17599","AT 2017ux","09:22:53.20","-03:12:52.36","","","","","ATLAS","ATLAS","ATLAS17apl","1","1","","18.59","cyan-ATLAS","2017-01-23 12:57:36","ATLAS_Bot1",""
"17600","AT 2017uy","23:54:57.10","+07:56:12.66","","","","","ATLAS","ATLAS","ATLAS17apj","1","1","","17.88","cyan-ATLAS","2017-01-23 05:09:36","ATLAS_Bot1",""
"17601","AT 2017uz","09:42:50.32","+07:42:30.07","","","","","ATLAS","ATLAS","ATLAS17apq","1","1","","18.34","cyan-ATLAS","2017-01-23 13:33:35","ATLAS_Bot1",""
"17602","AT 2017va","00:27:19.37","+08:51:40.34","","","","","ATLAS","ATLAS","ATLAS17apn","1","1","","18.11","cyan-ATLAS","2017-01-23 05:24:00","ATLAS_Bot1",""
"17603","AT 2017vb","00:18:16.25","-01:19:26.74","","","","","ATLAS","ATLAS","ATLAS17app","1","1","","17.91","cyan-ATLAS","2017-01-23 05:19:40","ATLAS_Bot1",""
"17604","AT 2017vc","01:36:46.38","+04:32:06.10","","","","","ATLAS","ATLAS","ATLAS17apm","1","1","","18.53","cyan-ATLAS","2017-01-23 06:11:31","ATLAS_Bot1",""
"17605","AT 2017vd","01:26:41.79","+30:13:30.27","","","","","ATLAS","ATLAS","ATLAS17apt","1","1","","18.55","orange-ATLAS","2017-01-16 05:16:48","ATLAS_Bot1",""
"17606","AT 2017ve","02:11:09.65","-06:18:24.21","","","","","ATLAS","ATLAS","ATLAS17apk","1","1","","18.58","cyan-ATLAS","2017-01-23 06:43:12","ATLAS_Bot1",""
"17607","AT 2017vf","01:39:46.17","-05:19:18.96","","","","","ATLAS","ATLAS","ATLAS17aps","1","1","","18.18","cyan-ATLAS","2017-01-23 06:15:50","ATLAS_Bot1",""
"17608","AT 2016jha","02:27:19.30","-07:09:47.18","","","","","ATLAS","ATLAS","ATLAS17apx","1","1","","18.96","orange-ATLAS","2016-12-21 08:34:04","ATLAS_Bot1",""
"17609","AT 2017vg","09:18:41.36","+11:27:45.40","","","","","ATLAS","ATLAS","ATLAS17apv","1","1","","19.2","cyan-ATLAS","2017-01-23 12:54:43","ATLAS_Bot1",""
"17610","AT 2017vh","08:24:53.33","-04:39:06.52","","","","","ATLAS","ATLAS","ATLAS17apo","1","1","","18.06","cyan-ATLAS","2017-01-23 12:08:38","ATLAS_Bot1",""
"17611","AT 2017vi","10:21:23.72","+06:43:12.96","","","","","Pan-STARRS1","Pan-STARRS1","PS17aiv","1","1","","20.3","w-PS1","2017-01-26 11:49:55","PS1_Bot1",""
"17612","AT 2017vj","10:11:02.56","+04:33:58.89","","","","","Pan-STARRS1","Pan-STARRS1","PS17aiu","1","1","","20.37","w-PS1","2017-01-26 11:48:28","PS1_Bot1",""
"17613","AT 2017vk","10:55:30.78","+05:37:29.12","","","","","Pan-STARRS1","Pan-STARRS1","PS17aiw","1","1","","20.86","w-PS1","2017-01-26 11:57:07","PS1_Bot1",""
"17614","AT 2017vl","08:16:03.47","+15:48:55.60","","","","","Pan-STARRS1","Pan-STARRS1","PS17ail","1","1","","21.91","w-PS1","2017-01-26 09:00:00","PS1_Bot1",""
"17615","AT 2017vm","08:59:31.60","+09:27:10.83","","","","","Pan-STARRS1","Pan-STARRS1","PS17ain","1","1","","21.18","w-PS1","2017-01-26 09:11:31","PS1_Bot1",""
"17616","AT 2017vn","08:52:21.34","+12:03:25.74","","","","","Pan-STARRS1","Pan-STARRS1","PS17aim","1","1","","20.51","w-PS1","2017-01-26 09:07:12","PS1_Bot1",""
"17617","AT 2017vo","09:58:21.78","+03:34:52.22","","","","","Pan-STARRS1","Pan-STARRS1","PS17aip","1","1","","21.56","w-PS1","2017-01-26 12:02:52","PS1_Bot1",""
"17618","AT 2017vp","09:02:35.12","+09:45:11.54","","","","","Pan-STARRS1","Pan-STARRS1","PS17aio","1","1","","19.84","w-PS1","2017-01-26 09:11:31","PS1_Bot1",""
"17619","AT 2017vq","10:02:03.31","+04:19:49.89","","","","","Pan-STARRS1","Pan-STARRS1","PS17air","1","1","","20.69","w-PS1","2017-01-26 11:45:36","PS1_Bot1",""
"17620","AT 2017vr","09:59:51.07","+05:38:29.67","","","","","Pan-STARRS1","Pan-STARRS1","PS17aiq","1","1","","20.91","w-PS1","2017-01-26 11:45:36","PS1_Bot1",""
"17621","AT 2017vs","10:09:44.30","+07:24:42.57","","","","","Pan-STARRS1","Pan-STARRS1","PS17ait","1","1","","21.31","w-PS1","2017-01-26 11:49:55","PS1_Bot1",""
"17622","AT 2017vt","10:06:35.71","+06:26:15.65","","","","","Pan-STARRS1","Pan-STARRS1","PS17ais","1","1","","21.45","w-PS1","2017-01-26 11:45:36","PS1_Bot1",""
"17623","AT 2017vu","08:59:23.92","-09:52:29.32","","","2MASX J08592386-0952291 ","0.044507","ASAS-SN","ASAS-SN","ASASSN-17bn","1","1","","17.6","V-Johnson","2017-01-21 10:04:48","Stanek",""
"17624","AT 2017vv","10:45:05.24","+00:43:55.78","","","","","Pan-STARRS1","Pan-STARRS1","PS17aiy","1","1","","21.89","w-PS1","2017-01-03 14:55:40","PS1_Bot1",""
"17625","AT 2017vw","10:28:24.25","-08:43:07.11","","","","","Pan-STARRS1","Pan-STARRS1","PS17aix","1","1","","22.04","w-PS1","2017-01-03 13:58:04","PS1_Bot1",""
"17626","AT 2017vx","10:56:22.53","+06:54:40.55","","","","","Pan-STARRS1","Pan-STARRS1","PS17aiz","1","1","","20.99","w-PS1","2017-01-03 14:57:07","PS1_Bot1",""
"17627","AT 2017vy","01:53:35.38","+07:16:07.99","","","","","Pan-STARRS1","Pan-STARRS1","PS17ajd","1","1","","20.13","i-Sloan","2017-01-11 05:36:57","PS1_Bot1",""
"17628","AT 2017vz","04:34:31.79","-28:41:18.02","","","","","Pan-STARRS1","Pan-STARRS1","PS17ajg","1","1","","19.97","i-Sloan","2017-01-08 06:38:52","PS1_Bot1",""
"17629","AT 2017wa","03:56:07.49","+62:14:44.05","","","","","Pan-STARRS1","Pan-STARRS1","PS17ajf","1","1","","19.61","i-Sloan","2017-01-06 07:04:48","PS1_Bot1",""
"17630","SN 2017wb","11:01:19.53","+70:39:54.76","SN Ia","0.03","2MASX J11011991+7039548","","ASAS-SN","ASAS-SN","ASASSN-17bo","1","1","","16.9","V-Johnson","2017-01-28 14:09:36","Stanek",""
"17631","AT 2017wc","22:27:14.93","+57:51:14.87","","","","","GaiaAlerts","GaiaAlerts","Gaia17agj","1","1","","16.74","G-Gaia","2017-01-24 10:16:19","Gaia_Bot1",""
"17632","AT 2017wd","19:17:12.90","+39:30:05.18","","","","","GaiaAlerts","GaiaAlerts","Gaia17agl","1","1","","17.08","G-Gaia","2017-01-25 16:49:26","Gaia_Bot1",""
"17633","AT 2017we","21:04:02.24","+55:14:45.78","","","","","GaiaAlerts","GaiaAlerts","Gaia17agm","1","1","","18.64","G-Gaia","2017-01-25 04:27:50","Gaia_Bot1",""
"17634","AT 2017wf","17:13:27.96","-14:51:49.32","","","","","GaiaAlerts","GaiaAlerts","Gaia17agn","1","1","","18.35","G-Gaia","2017-01-25 07:35:02","Gaia_Bot1",""
"17635","AT 2017wg","08:49:36.61","-54:00:14.62","","","","","GaiaAlerts","GaiaAlerts","Gaia17ago","1","1","","18.82","G-Gaia","2017-01-25 03:20:09","Gaia_Bot1",""
"17636","AT 2017wh","15:51:18.99","-42:52:57.04","","","","","GaiaAlerts","GaiaAlerts","Gaia17agp","1","1","","17.23","G-Gaia","2017-01-25 08:11:02","Gaia_Bot1",""
"17637","AT 2017wi","02:02:08.63","-17:59:56.40","","","GALEXASC J020208.73-175958.3","","ASAS-SN","ASAS-SN","ASASSN-17bp","1","1","","17.2","V-Johnson","2017-01-29 01:10:33","Stanek",""
"17678","AT 2017xx","07:25:38.14","+59:00:10.57","","","GALEXASC J072538.14+590010.5","","ASAS-SN","ASAS-SN","ASASSN-17bq","1","1","","17.5","V-Johnson","2017-01-27 12:14:24","Stanek",""
"17679","AT 2017xy","15:52:00.35","+66:18:53.17","","","GALEXASC J155200.16+661851.6","","ASAS-SN","ASAS-SN","ASASSN-17br","1","1","","17.1","V-Johnson","2017-01-29 14:52:48","Stanek",""
"17680","AT 2017xz","00:39:48.12","+29:16:15.02","","","","","ATLAS","ATLAS","ATLAS17ara","1","1","","18.21","cyan-ATLAS","2017-01-24 05:34:04","ATLAS_Bot1",""
"17681","AT 2017ya","00:16:44.48","+15:20:31.52","","","","","ATLAS","ATLAS","ATLAS17arb","1","1","","18.5","cyan-ATLAS","2017-01-24 05:36:57","ATLAS_Bot1",""
"17682","AT 2017yb","02:53:24.40","+15:46:05.61","","","","","ATLAS","ATLAS","ATLAS17ard","1","1","","18.62","cyan-ATLAS","2017-01-24 06:54:43","ATLAS_Bot1",""
"17683","AT 2017yc","01:32:34.02","+32:18:47.23","","","","","ATLAS","ATLAS","ATLAS17are","1","1","","18.38","cyan-ATLAS","2017-01-28 06:31:40","ATLAS_Bot1",""
"17684","AT 2017yd","10:55:59.27","+11:55:15.11","","","","","ATLAS","ATLAS","ATLAS17arc","1","1","","18.41","cyan-ATLAS","2017-01-23 14:32:38","ATLAS_Bot1",""
"17685","AT 2016jhb","04:00:25.51","+20:19:35.85","","","","","ATLAS","ATLAS","ATLAS17aqy","1","1","","17.87","orange-ATLAS","2016-02-24 05:36:57","ATLAS_Bot1",""
