SNHunt des.,IAU des.,Discovery,Discoverer,Survey,Host galaxy,RA,Dec,Type,Notes
SNhunt231,SN 2014E,1/7/2014,Howerton,CSS,UGC 7034,12h03m31.2,+02:02:36,Ia,PTF 2014-01-05
SNhunt232,,1/10/2014,Howerton,MLS,CGCG 039-105,11h17m47.4s,+02:31:46,PSN,
SNhunt233,,1/29/2014,Drake,CSS,UGC 1589,02h05m56.8s,+14:55:06,,Unconfirmed
SNhunt234,,2/4/2014,Howerton,CSS,UGC 7354,12h19m09.9s,+03:51:23,LBV?,
SNhunt235,,2/11/2014,Howerton,CSS,UGC 2282,02h48m42.3s,+14:18:29,PSN,
SNhunt236,,2/28/2014,Howerton,CSS,NGC 3012,09h49m55.1s,+34:41:47,PSN,
SNhunt237,SN 2014ab,3/9/2014,Howerton,CSS,SDSS J134805.97+072314.8,13h48m06.0s,+07:23:16,IIn,
SNhunt238,SN 2014ad,3/12/2014,Howerton,CSS,MRK 1309 NED01,11h57m44.4s,-10:10:16,BL-Ic,Initially classified as peculiar Ia
SNhunt239,,3/25/2014,Howerton,CSS,UGC 7132,12h09m10.0s,+31:34:26,Ia,SN 1991bg-like (subluminous)
SNhunt240,,3/25/2014,Howerton,CSS,NGC 3561A,11h11m13.0s,+28:42:43,AGN/PSN,
SNhunt241,SN 2014au,4/20/2014,Howerton,MLS,LCRS B141651.2-052306,14h19m28.9s,-05:37:36,II/IIP,
SNhunt242,,4/24/2014,Howerton,MLS,2MASX J20041146-1946436,20h04m11.7s,-19:46:40,IIb,
SNhunt243,,4/25/2014,Howerton,CSS,CGCG 066-096,11h01m11.6s,+12:28:11,PSN,
SNhunt244,,4/29/2014,Howerton,MLS,MCG+02-24-014,09h27m44.7s,+12:17:22,PSN,
SNhunt245,,5/1/2014,Howerton,MLS,LCRS B133704.2-054320,13h39m41.6s,-05:58:32,PSN,
SNhunt246,,5/4/2014,Howerton,MLS,2MASX J14445214+0021568,14h44m52.3s,+00:22:03,PSN,
SNhunt247,,5/21/2014,Howerton,MLS,CGCG 017-035,13h36m47.5s,+01:09:18,PSN,
SNhunt248,,5/21/2014,Howerton,MLS,NGC 5806,14h59m59.5s,+01:54:26,LCH,Luminous cool hypergiant
SNhunt249,,5/22/2014,Howerton,MLS,CGCG 015-006,12h43m11.2s,-01:26:18,PSN?,
SNhunt250,,5/23/2014,Howerton,MLS,SDSS J151349.29+042738.4,15h13m49.3s,+04:27:39,PSN,
SNhunt251,,5/27/2014,Howerton,MLS,2MASX J21055700-1236118,21h05m56.7s,-12:36:09,PSN,
SNhunt252,,5/30/2014,Howerton,MLS,UGC 5696,10h29m52.0s,+19:50:11,PSN,
SNhunt253,SN 2014bs,5/30/2014,Howerton,CSS,NGC 5270,13h42m09.7s,+04:15:45,Ia,
SNhunt254,,6/17/2014,Howerton,CSS,CGCG 013-084,12h08m31.8s,+00:08:20,PSN,
SNhunt255,,7/2/2014,Howerton,CSS,UGC 93,00h10m17.4s,+30:51:13,PSN,
SNhunt258,,10/1/2014,Howerton,MLS,CGCG 383-008,00h24m18.0s,-01:38:04,PSN,
SNhunt256,,10/13/2014,Howerton,CSS,UGC 898,01h21m30.8s,+19:52:45,PSN,
SNhunt257,SN 2014dr,10/14/2014,Howerton,CSS,UGC 2705,03h22m46.4s,+00:09:21,II,
SNhunt259,,10/15/2014,Howerton,MLS,MCG-01-01-020,00h00m21.2s,-02:36:33,PSN,unconfirmed
SNhunt260,,10/15/2014,Howerton,MLS,NGC 201,00h39m34.8s,+00:51:18,LBV?,
SNhunt261,,10/17/2014,Howerton,CSS,NGC 1092,02h45m29.9s,-17:31:35,Ia,SN 1991bg-like (subluminous)
SNhunt262,,10/23/2014,Howerton,CSS,ESO 540-G21,00h46m57.1s,-21:50:51,PSN,
SNhunt263,,10/26/2014,Howerton,CSS,UGC 4798,09h08m42.5s,+44:48:13,Ia,
SNhunt264,,11/18/2014,Howerton,CSS,MCG-01-06-018,01h58m45.0s,-07:50:02,PSN,
SNhunt265,,11/22/2014,Howerton,CSS,MCG-01-04-010,01h11m22.3s,-06:49:15,PSN,
SNhunt266,,11/22/2014,Howerton,CSS,NGC 3968,11h55m29.0s,+11:58:34,PSN,
SNhunt267,,11/25/2014,Howerton,CSS,UGC 4740,09h02m06.2s,+23:22:43,PSN,
SNhunt268,,11/30/2014,Howerton,CSS,UGC 783,01h14m26.8s,+42:33:18,II/IIb,iPTF 2014-11-20
SNhunt269,,12/12/2014,Howerton,CSS,CGCG 503-023,01h46m55.6s,+32:06:46,PSN,Mike Peoples et al.  2014-12-12
SNhunt270,,12/15/2014,Howerton,CSS,UGC 6476,11h28m33.9s,+23:24:44,LBV/PSN,
SNhunt271,,12/20/2014,Howerton,MLS,UGC 2289,02h49m00.8s,+15:44:06,II,PS1 2014-12-12
SNhunt272,,12/24/2014,Howerton,MLS,UGC 2918,04h00m21.8s,+22:54:03,LBV/PSN,
SNhunt273,,1/23/2015,Howerton,CSS,NGC 3549,11h10m55.7s,+53:22:49,II,
SNhunt274,,1/28/2015,Howerton,CSS,UGC 738,01h11m05.4s,+33:50:13,,unconfirmed
SNhunt275,SN 2015bh,2/7/2015,Howerton,CSS,NGC 2770,09h09m35.0s,+33:07:20,LBV to IIn,prior outburst PTF 2013-12-12
SNhunt276,,2/10/2015,Howerton,CSS,NGC 3910,11h49m58.9s,+21:19:02,Ia,SN 1991bg-like (subluminous)
SNhunt277,,2/12/2015,Howerton,MLS,CGCG 176-024,07h10m16.8s,+33:09:46,IIP,
SNhunt278,SN 2015bo,2/14/2015,Howerton,CSS,NGC 5490,14h09m55.1s,+17:31:56,Ia,Normal/1991bg-like?
SNhunt279,,2/14/2015,Howerton,CSS,NGC 5339,13h53m59.8s,-07:55:08,LBV/PSN,
SNhunt280,,3/11/2015,Howerton,CSS,Anonymous,12h46m51.1s,+09:50:52,PSN,
SNhunt281,SN 2015bp,3/16/2015,Howerton,CSS,NGC 5839,15h05m30.1s,+01:38:02,Ia,SN 1991bg-like (subluminous)
SNhunt282,,3/20/2015,Howerton,CSS,SDSS J121605.18+264058.7,12h16m05.2s,+26:40:59,PSN,
SNhunt283,,3/24/2015,Howerton,CSS,SDSS J093259.82+295703.1,09h32m59.8s,+29:57:04,PSN,
SNhunt284,,3/24/2015,Howerton,CSS,NGC 4618,12h41m38.4s,+41:09:05,LBV?,
SNhunt285,,3/30/2015,Howerton,CSS,UGC 6929,11h57m18.0s,+36:24:54,PSN,
SNhunt286,,4/14/2015,Howerton,CSS,NGC 6233,16h50m16.5s,+23:34:45,PSN,
SNhunt287,,4/25/2015,Howerton,CSS,NGC 4098,12h06m00.8s,+20:36:18,PSN,
SNhunt288,,5/19/2015,Howerton,CSS,Unknown,14h48m50.9s,+12:28:55,PSN/CV,
SNhunt289,,6/14/2015,Howerton,CSS,UGC 8781,13h52m23.7s,+21:31:58,PSN,
SNhunt290,,6/29/2015,Howerton,CSS,UGC 9703,15h05m26.5s,+46:33:40,,unconfirmed
SNhunt291,,7/8/2015,Howerton,MLS,ESO 596-G10,20h15m03.2s,-19:59:46,IIP,
SNhunt292,,7/8/2015,Howerton,MLS,ESO 597-G7,20h32m19.4s,-18:12:18,PSN,
Howerton-A1,,11/10/2010,Howerton,CSS,SDSS J101403.66+070326.7,10h14m03.7s,+07:03:27,AGN/PSN,
Howerton-A2,SN 2010kr,11/13/2010,Howerton,CSS,MCG+07-22-062,10h47m38.2s,+38:55:25,Ia,LOSS official discovery 2010-12-01
Howerton-A3,,12/5/2010,Howerton,CSS,NGC 4809,12h54m51s,+02:39:08,LBV?,Precursor to SNhunt97/SN 2011jm?
Howerton-A4,,1/26/2011,Howerton,CSS,SDSS J075957.68+331805.7,07h59m57.7s,+33:18:06,AGN/PSN,
Howerton-A5,SN 2011fh,2/24/2011,Howerton,CSS,NGC 4806,12h56m14.0s,-29:29:55,IIn,Monard official discovery 2011-08-24
Howerton-A6,,3/14/2011,Howerton,CSS,SDSS J140214.13+074137.1,14h02m14.4s,+07:41:37,PSN,
Howerton-A7,,4/1/2011,Howerton,CSS,MASX J12494243-1047597,12h49m41.9s,-10:48:01,PSN,
Howerton-A8,,4/8/2011,Howerton,CSS,2MASX J14140315+3523107,14h14m03.1s,+35:23:12,SLSN/TDE,
Howerton-A9,,4/12/2011,Howerton,CSS,NGC 6768,19h16m33.5s,-40:12:30,,Unconfirmed
Howerton-A10,,4/12/2011,Howerton,CSS,UGCA 322,13h04m28.7s,-03:34:44,QSO,QSO candidate from SDSS
Howerton-A11,,4/13/2011,Howerton,CSS,NGC 4298,12h21m33.2s,+14:36:32,GV/LBV?,Probably a Milky Way variable.
Howerton-A12,,6/7/2011,Howerton,CSS,NGC 4206,12h15m16.5s,+13:01:04,LBV?,Position very approximate
Howerton-A13,,6/10/2011,Howerton,CSS,2MASX J17573191+5043278,17h57m31.9s,+50:43:28,AGN/PSN,Tidal disruption event?
Howerton-A14,,7/3/2011,Howerton,CSS,NGC 6255,16h54m54s,+36:30:08,LBV?,
Howerton-A15,,9/20/2011,Howerton,SSS,ESO 485-G12,04h48m04s,-25:13:57,,Unconfirmed
Howerton-A16,,9/22/2011,Howerton,CSS,2MASX J00071982+3238494,00h07m20s,+32:38:49,PSN,
Howerton-A17,,9/24/2011,Howerton,MLS,MCG+00-01-056,00h16m54.5s,-00:05:09,PSN,
Howerton-A18,,10/20/2011,Howerton,MLS,MCG-01-58-015,23h03m44.3s,-07:12:55,LBV/QSO,
Howerton-A19,,11/28/2011,Howerton,CSS,SDSS J020621.53+034328.8,02h06m21.5s,+03:43:29,AGN/TDE,
Howerton-A20,SN 2012aa,1/25/2012,Howerton,CSS,APMUKS(BJ) B144957.00-031938.0,14h52m33.5s,-03:31:54,Ic,LOSS official discovery 2012-01-29
Howerton-A21,,2/25/2012,Howerton,MLS,SDSS J094159.71+121639.3?,09h41m59s,+12:16:40,PSN,
Howerton-A22,,4/2/2012,Howerton,SSS,ESO 382-G22,12h14m33s,-33:40:38,PSN,
Howerton-A23,SN 2009ip,7/24/2012,Howerton,SSS,NGC 7259,22h23m08.3s,-28:56:52,LBV to IIn,Beginning of the 2012a eruption
Howerton-A24,,11/12/2012,Howerton,MLS,CGCG 500-083,00h46m24.9s,+29:37:48,LBV?,
Howerton-A25,,3/14/2013,Howerton,CSS,MCG+05-06-014,02h12m06s,+31:35:10,,Unconfirmed
Howerton-A26,,3/24/2013,Howerton,CSS,IC 4567,15h37m12.2s,+43:18:08,PSN,
Howerton-A27,,4/14/2013,Howerton,SDSS,UGC 5886,10h46m49.9s,-01:23:26,PSN,Found in archived SDSS image
Howerton-A28,,4/23/2013,Howerton,SSS,ESO 90-G9,08h55m38.9s,-67:26:41,,Unconfirmed
Howerton-A29,,6/27/2013,Howerton,CSS,NGC 214,00h41m29.1s,+25:30:10,LBV?,
Howerton-A30,,9/2/2013,Howerton,CSS,near CGCG 522-002,01h46m33.3s,+34:54:34,PSN/CV,
Howerton-A31,,1/1/2014,Howerton,MLS,UGC 2007,02h32m13.5s,+09:43:39,,Unconfirmed
Howerton-A32,,5/6/2014,Howerton,CSS,NGC 3953,11h53m42.6s,+52:18:31,LBV?,
Howerton-A33,,5/31/2014,Howerton,MLS,SDSS J172718.77+252858.6,17h27m18.8s,+25:28:59,PSN/QSO,
Howerton-A34,,6/10/2014,Howerton,CSS,NGC 5112,13h21m48.0s,+38:44:32,LBV?,
Howerton-A35,,10/28/2014,Howerton,CSS,UGC 4879,09h16m00.7s,+52:49:59,GV?,Red variable in MW/in galaxy?
Howerton-A36,,5/25/2015,Howerton,CSS,NGC 5204,13h29m36.0s,+58:23:17,LBV/QSO,
Howerton-A37,PS15arh,6/1/2015,Howerton,CSS,UGC 12143,22h40m26.1s,+31:50:28,PSN,Official discovery PS1 (PS15arh)
Howerton-A38,,6/21/2015,Howerton,MLS,IC 1055,14h47m20.8s,-13:43:30,,Unconfirmed
