Title: Precursors prior to Type IIn supernova explosions are common: 
       precursor rates, properties, and correlations 
Authors: Ofek E.O., Sullivan M., Shaviv N.J., Steinbok A., Arcavi I., 
         Gal-Yam A., Tal D., Kulkarni S.R., Nugent P.E., Ben-Ami S., 
         Kasliwal M.M., Cenko S.B., Laher R., Surace J., Bloom J.S., 
         Filippenko A.V., Silverman J.M., Yaron O. 
Table: SN Observations
================================================================================
Byte-by-byte Description of file: apj496516t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     SN      Supernova identifier
  11- 11 A1     ---     Filter  Filter used in the observation
  13- 22 F10.5  d       Time    Time relative to t_rise
PTF10uls  R  336.41300 55782.41300 81.642   -0.468 22.079    -71.9    31.0 
PTF10uls  R  337.32700 55783.32700 82.304   -1.235 20.363   -132.3   150.5 
PTF10uls  R  337.37100 55783.37100 82.208   -0.812 20.914   -121.1    90.6 
PTF10uls  R  338.38700 55784.38700 81.945   -1.156 20.794    -95.1   101.2 
PTF10uls  R  348.29400 55794.29400 81.849   -1.158 20.888    -87.0    92.8 
PTF10uls  R  348.33800 55794.33800 19.423    0.725 18.669   1073.3   716.7 
PTF10uls  R  363.37900 55809.37900 22.661    1.274 21.295     54.4    63.8 
PTF10uls  R  365.25400 55811.25400 22.311    1.573 20.716     75.1   108.8 
PTF10uls  R  365.33700 55811.33700 80.156   -4.059 21.220    -18.3    68.4 
PTF10uls  R  366.24100 55812.24100 22.233    1.505 20.686     80.7   111.8 
PTF10uls  R  366.28600 55812.28600 22.817    1.872 21.033     47.1    81.2 
PTF10uls  R  367.30600 55813.30600 81.974   -0.916 21.019    -97.6    82.3 
PTF10uls  R  376.23500 55822.23500 23.689    5.183 20.800     21.1   100.7 
PTF10uls  R  376.27900 55822.27900 24.651    9.524 21.101      8.7    76.3 
PTF10uls  R  377.22500 55823.22500 80.841   -2.241 21.179    -34.4    71.0 
PTF10uls  R  377.26900 55823.26900 23.333    2.598 21.193     29.3    70.1 
PTF10uls  R  378.25000 55824.25000 82.814   -0.319 21.324   -211.6    62.1 
PTF10uls  R  378.31000 55824.31000 82.003   -0.353 22.024   -100.3    32.6 
PTF10uls  R  392.20800 55838.20800 81.263   -1.707 21.054    -50.7    79.7 
PTF10uls  R  396.17300 55842.17300 80.390   -9.099 20.109    -22.7   190.2 
PTF10uls  R  396.25000 55842.25000 81.695   -1.518 20.749    -75.5   105.5 
PTF10uls  R  397.20600 55843.20600 79.903  -11.849 20.309    -14.5   158.2 
PTF10uls  R  397.24900 55843.24900 81.555   -2.659 20.279    -66.4   162.6 
PTF10uls  R  403.13900 55849.13900 20.691    0.892 19.712    334.0   274.2 
PTF10uls  R  403.18700 55849.18700 81.953   -1.753 20.334    -95.8   154.6 
PTF10uls  R  404.18500 55850.18500 81.380   -1.870 20.837    -56.5    97.3 
PTF10uls  R  404.22900 55850.22900 24.614    8.869 21.141      9.0    73.5 
PTF10uls  R  405.19300 55851.19300 23.337    2.667 21.168     29.2    71.7 
PTF10uls  R  405.23900 55851.23900 80.626   -2.542 21.258    -28.2    66.0 
PTF10uls  R  406.19800 55852.19800 80.546   -1.811 21.706    -26.2    43.7 
PTF10uls  R  406.29700 55852.29700 24.311    5.165 21.425     11.9    56.6 
PTF10uls  R  407.20000 55853.20000 22.841    1.350 21.412     46.1    57.3 
PTF10uls  R  407.26000 55853.26000 22.886    1.275 21.519     44.2    51.9 
PTF10uls  R  408.19100 55854.19100 78.811  -10.471 21.536     -5.3    51.1 
PTF10uls  R  408.23500 55854.23500 79.511   -5.183 21.600    -10.1    48.2 
PTF10uls  R  422.36900 55868.36900 80.813   -2.088 21.285    -33.5    64.4 
PTF10uls  R  422.37000 55868.37000 22.675    1.470 21.153     53.7    72.7 
PTF10weh  R -372.65100 55080.34900 80.220   -6.639 20.622    -19.4   118.6 
PTF10weh  R -371.72100 55081.27900 80.295   -2.694 21.526    -20.8    51.6 
PTF10weh  R -371.65400 55081.34600 22.725    2.075 20.829     51.3    98.0 
PTF10weh  R -364.67200 55088.32800 23.214    1.710 21.528     32.7    51.5 
PTF10weh  R -358.69300 55094.30700 81.258   -1.505 21.194    -50.5    70.0 
PTF10weh  R -357.69000 55095.31000 21.708    0.333 21.799    130.9    40.1 
PTF10weh  R -344.81800 55108.18200 22.929    2.882 20.676     42.5   112.8 
PTF10weh  R -344.77400 55108.22600 25.468   36.182 20.469      4.1   136.6 
PTF10weh  R -314.88400 55138.11600 23.097    3.303 20.697     36.4   110.7 
PTF10weh  R -314.84000 55138.16000 81.554   -1.807 20.701    -66.3   110.3 
PTF10weh  R -170.67600 55282.32400 79.467  -17.253 20.338     -9.7   154.1 
PTF10weh  R -170.63000 55282.37000 81.725   -1.626 20.644    -77.6   116.2 
PTF10weh  R -155.48500 55297.51500 80.707   -2.908 21.031    -30.4    81.4 
PTF10weh  R -140.53100 55312.46900 82.401   -0.338 21.672   -144.7    45.1 
PTF10weh  R -139.64400 55313.35600 82.599   -0.601 20.852   -173.6    96.0 
PTF10weh  R -139.57300 55313.42700 23.820    3.026 21.515     18.7    52.1 
PTF10weh  R -134.57100 55318.42900 22.963    1.033 21.824     41.2    39.2 
PTF10weh  R -134.52800 55318.47200 79.015   -8.043 21.618     -6.4    47.4 
PTF10weh  R -129.54100 55323.45900 22.533    0.797 21.677     61.2    44.9 
PTF10weh  R -128.74100 55324.25900 22.620    0.873 21.665     56.5    45.4 
PTF10weh  R -128.69000 55324.31000 81.040   -1.233 21.629    -41.3    46.9 
PTF10weh  R -122.53400 55330.46600 23.820    1.725 22.125     18.7    29.7 
PTF10weh  R -121.66000 55331.34000 80.316   -1.214 22.370    -21.2    23.7 
PTF10weh  R -121.61700 55331.38300 25.367    6.613 22.213      4.5    27.4 
PTF10weh  R -114.64300 55338.35700 81.458   -1.276 21.174    -60.7    71.3 
PTF10weh  R -114.60000 55338.40000 78.228  -14.083 21.797     -3.1    40.2 
PTF10weh  R -107.51700 55345.48300 21.292    0.786 20.450    192.0   139.0 
PTF10weh  R -106.70400 55346.29600 82.092   -0.612 21.339   -108.8    61.3 
PTF10weh  R -106.66000 55346.34000 78.909  -14.605 21.077     -5.8    78.0 
PTF10weh  R -101.60900 55351.39100 77.198  -21.358 22.375     -1.2    23.6 
PTF10weh  R -101.56300 55351.43700 22.834    0.494 22.496     46.4    21.1 
PTF10weh  R  -96.57200 55356.42800 22.161    0.368 22.144     86.2    29.2 
PTF10weh  R  -96.52100 55356.47900 22.509    1.273 21.143     62.6    73.4 
PTF10weh  R  -91.52600 55361.47400 23.371    1.378 21.919     28.3    35.9 
PTF10weh  R  -90.81000 55362.19000 75.693 -143.352 21.813     -0.3    39.6 
PTF10weh  R  -90.73300 55362.26700 79.633   -2.758 22.162    -11.3    28.7 
PTF10weh  R  -90.67600 55362.32400 23.446    1.682 21.778     26.4    40.9 
PTF10weh  R  -90.61600 55362.38400 22.924    0.595 22.384     42.7    23.4 
PTF10weh  R  -90.55400 55362.44600 24.742    3.149 22.393      8.0    23.2 
PTF10weh  R  -89.80300 55363.19700 22.811    0.958 21.754     47.4    41.8 
PTF10weh  R  -84.61700 55368.38300 22.872    0.984 21.786     44.8    40.6 
PTF10weh  R  -84.57300 55368.42700 22.538    0.720 21.791     60.9    40.4 
PTF10weh  R  -79.59600 55373.40400 22.714    2.080 20.816     51.8    99.2 
PTF10weh  R  -79.55200 55373.44800 80.718   -2.441 21.210    -30.7    69.0 
PTF10weh  R  -68.62300 55384.37700 80.671   -0.820 22.441    -29.4    22.2 
PTF10weh  R  -68.57800 55384.42200 80.185   -1.773 22.089    -18.8    30.7 
PTF10weh  R  -62.64400 55390.35600 22.797    1.109 21.582     48.0    49.0 
PTF10weh  R  -62.59900 55390.40100 81.971   -0.628 21.431    -97.4    56.3 
PTF10weh  R  -57.63300 55395.36700 81.666   -0.402 22.221    -73.5    27.2 
PTF10weh  R  -52.61700 55400.38300 23.634    2.167 21.691     22.2    44.3 
PTF10weh  R  -52.57400 55400.42600 22.348    0.630 21.746     72.6    42.1 
PTF10weh  R  -40.62800 55412.37200 81.999   -0.452 21.759    -99.9    41.6 
PTF10weh  R  -40.58600 55412.41400 22.417    0.906 21.421     68.1    56.8 
PTF10weh  R  -29.80600 55423.19400 22.042    0.351 22.075     96.2    31.1 
PTF10weh  R  -29.76300 55423.23700 24.457    2.851 22.217     10.4    27.3 
PTF10weh  R  -22.71400 55430.28600 81.035   -0.964 21.901    -41.1    36.5 
PTF10weh  R  -22.67000 55430.33000 25.037    9.881 21.446      6.1    55.5 
PTF10weh  R  -18.83600 55434.16400 21.392    2.482 19.302    175.0   400.0 
PTF10weh  R  -18.79100 55434.20900 80.766   -1.512 21.681    -32.1    44.7 
PTF10weh  R    0.16800 55453.16800 20.834    0.107 22.159    292.8    28.8 
PTF10weh  R    0.21200 55453.21200 20.976    0.134 22.055    256.7    31.7 
PTF10weh  R    4.22900 55457.22900 20.110    0.120 21.312    570.0    62.8 
PTF10weh  R    4.27300 55457.27300 20.379    0.124 21.543    445.0    50.8 
PTF10weh  R    8.13900 55461.13900 19.715    0.053 21.805    820.7    39.9 
PTF10weh  R    8.18200 55461.18200 19.642    0.061 21.582    877.4    49.0 
PTF10weh  R   11.13400 55464.13400 19.400    0.088 20.939   1096.7    88.6 
PTF10weh  R   11.18100 55464.18100 19.397    0.060 21.351   1099.3    60.6 
PTF10weh  R   14.19800 55467.19800 19.228    0.068 21.047   1285.1    80.2 
PTF10weh  R   14.24200 55467.24200 19.158    0.072 20.918   1370.8    90.3 
PTF10weh  R   24.19800 55477.19800 18.750    0.025 21.657   1994.9    45.7 
PTF10weh  R   24.24200 55477.24200 18.742    0.040 21.141   2010.2    73.5 
PTF10weh  R   45.14300 55498.14300 18.362    0.013 21.941   2851.3    35.2 
PTF10weh  R   45.18900 55498.18900 18.374    0.023 21.387   2819.9    58.6 
PTF10weh  R  271.20900 55724.20900 21.636    0.527 21.228    139.8    67.9 
PTF10weh  R  271.25200 55724.25200 20.853    0.245 21.278    287.6    64.8 
PTF10weh  R  279.32300 55732.32300 21.422    0.285 21.681    170.3    44.7 
PTF10weh  R  279.36700 55732.36700 21.392    0.189 22.096    175.1    30.5 
PTF10weh  R  282.33300 55735.33300 21.590    0.260 21.950    145.9    34.9 
PTF10weh  R  282.37600 55735.37600 21.942    0.340 22.011    105.5    33.0 
PTF10weh  R  298.38900 55751.38900 22.389    0.455 22.140     69.9    29.3 
PTF10weh  R  298.44200 55751.44200 22.120    0.420 21.960     89.5    34.6 
PTF10weh  R  302.40100 55755.40100 21.003    0.436 20.802    250.5   100.5 
PTF10weh  R  305.42000 55758.42000 81.349   -1.126 21.419    -54.9    56.9 
PTF10weh  R  305.46400 55758.46400 21.413    0.721 20.665    171.7   114.0 
PTF10weh  R  310.39800 55763.39800 21.726    0.538 21.297    128.7    63.7 
PTF10weh  R  310.44400 55763.44400 24.447    7.240 21.194     10.5    70.0 
PTF10weh  R  331.19400 55784.19400 22.458    1.103 21.249     65.6    66.6 
PTF10weh  R  331.23700 55784.23700 23.247    2.857 21.004     31.7    83.4 
PTF10weh  R  336.20400 55789.20400 21.937    0.370 21.913    106.0    36.1 
PTF10weh  R  336.24800 55789.24800 23.127    1.577 21.530     35.4    51.4 
PTF10weh  R  339.18300 55792.18300 22.038    0.337 22.114     96.6    30.0 
PTF10weh  R  339.24100 55792.24100 21.466    0.161 22.348    163.5    24.2 
PTF10weh  R  364.26700 55817.26700 22.510    2.528 20.400     62.5   145.5 
PTF10weh  R  364.32000 55817.32000 20.939    7.435 17.657    265.8  1819.8 
PTF10weh  R  367.23600 55820.23600 82.737   -0.252 21.655   -197.2    45.8 
PTF10weh  R  367.28000 55820.28000 21.766    0.416 21.615    124.0    47.5 
PTF10weh  R  371.13000 55824.13000 80.214   -1.615 22.162    -19.3    28.7 
PTF10weh  R  371.22000 55824.22000 80.225   -2.027 21.904    -19.5    36.4 
PTF10weh  R  389.15000 55842.15000 81.698   -1.386 20.845    -75.7    96.6 
PTF10weh  R  389.24100 55842.24100 80.214   -7.641 20.475    -19.3   135.8 
PTF10weh  R  397.13100 55850.13100 23.832    2.019 21.966     18.5    34.4 
PTF10weh  R  397.17400 55850.17400 23.899    3.932 21.309     17.4    63.0 
PTF10weh  R  400.12000 55853.12000 22.383    0.618 21.802     70.3    40.0 
PTF10weh  R  400.16400 55853.16400 24.478    5.047 21.618     10.2    47.4 
PTF10weh  R  909.53700 56362.53700 82.137   -0.493 21.528   -113.5    51.5 
PTF10weh  R  910.41000 56363.41000 22.339    0.737 21.566     73.2    49.7 
PTF10weh  R  910.44000 56363.44000 80.749   -1.715 21.562    -31.6    49.9 
PTF10weh  R  932.47700 56385.47700 80.082   -4.490 21.184    -17.1    70.7 
PTF10weh  R  932.50600 56385.50600 22.038    2.675 19.866     96.6   237.9 
PTF10weh  R  933.50200 56386.50200 81.061   -0.913 21.935    -42.1    35.4 
PTF10weh  R  936.52400 56389.52400 23.059    2.474 20.972     37.7    85.9 
PTF10weh  R  939.46900 56392.46900 24.903    7.602 21.597      6.9    48.3 
PTF10weh  R  940.32900 56393.32900 22.829    1.009 21.716     46.6    43.3 
PTF10weh  R  941.32600 56394.32600 81.845   -0.540 21.721    -86.7    43.1 
PTF10weh  R  943.43100 56396.43100 81.699   -0.636 21.689    -75.8    44.4 
PTF10weh  R  943.46000 56396.46000 23.402    1.477 21.875     27.5    37.4 
PTF10weh  R  946.47800 56399.47800 82.584   -0.275 21.716   -171.3    43.3 
PTF10weh  R  947.43700 56400.43700 22.363    0.710 21.632     71.6    46.8 
PTF10weh  R  947.46700 56400.46700 78.609  -12.711 21.528     -4.4    51.5 
PTF10weh  R  947.49700 56400.49700 79.543   -5.910 21.425    -10.4    56.6 
PTF10weh  R  948.47000 56401.47000 79.543   -4.166 21.805    -10.4    39.9 
PTF10weh  R  948.49900 56401.49900 77.198  -56.744 21.314     -1.2    62.7 
PTF10weh  R  949.45500 56402.45500 24.074    2.546 21.956     14.8    34.7 
PTF10weh  R  949.48500 56402.48500 24.112    4.762 21.314     14.3    62.7 
PTF10weh  R  950.44500 56403.44500 22.226    0.353 22.253     81.2    26.4 
PTF10weh  R  950.47500 56403.47500 79.386   -2.836 22.380     -9.0    23.5 
PTF10weh  R  950.50500 56403.50500 22.950    0.781 22.114     41.7    30.0 
PTF10weh  R  951.44200 56404.44200 81.586   -0.633 21.807    -68.3    39.8 
PTF10weh  R  951.47100 56404.47100 23.200    0.902 22.209     33.1    27.5 
PTF10weh  R  951.50100 56404.50100 26.490   19.141 22.182      1.6    28.2 
PTF10weh  R  952.45400 56405.45400 21.760    0.592 21.226    124.7    68.0 
PTF10weh  R  952.48400 56405.48400 81.785   -0.380 22.162    -82.0    28.7 
PTF10weh  R  959.43300 56412.43300 81.317   -0.697 21.972    -53.3    34.2 
PTF10weh  R  959.46300 56412.46300 80.829   -1.096 21.969    -34.0    34.3 
PTF10weh  R  959.49200 56412.49200 22.370    0.953 21.319     71.1    62.4 
PTF10weh  R  960.42700 56413.42700 22.836    0.842 21.919     46.3    35.9 
PTF10weh  R  960.45600 56413.45600 79.850   -3.030 21.844    -13.8    38.5 
PTF10weh  R  960.48500 56413.48500 80.667   -1.846 21.564    -29.3    49.8 
PTF10weh  R  961.46400 56414.46400 23.689    4.045 21.069     21.1    78.6 
PTF10weh  R  962.48100 56415.48100 24.339    5.795 21.328     11.6    61.9 
PTF10weh  R  963.44600 56416.44600 79.661   -3.867 21.767    -11.6    41.3 
PTF10weh  R  963.47600 56416.47600 77.103  -31.000 22.065     -1.1    31.4 
PTF10weh  R  964.44800 56417.44800 81.895   -1.220 20.786    -90.8   102.0 
PTF10weh  R  970.46200 56423.46200 22.476    0.751 21.684     64.5    44.6 
PTF10weh  R  970.49100 56423.49100 22.860    1.580 21.260     45.3    65.9 
PTF10weh  R  970.49400 56423.49400 74.500 -613.590 21.427     -0.1    56.5 
PTF10weh  R  971.44100 56424.44100 22.014    0.413 21.872     98.7    37.5 
PTF10weh  R  971.47000 56424.47000 23.127    0.825 22.233     35.4    26.9 
PTF10weh  R  971.47400 56424.47400 80.220   -1.192 22.486    -19.4    21.3 
PTF10weh  R  972.44100 56425.44100 23.103    1.353 21.672     36.2    45.1 
PTF10weh  R  972.47000 56425.47000 22.989    1.078 21.805     40.2    39.9 
PTF10weh  R  972.48600 56425.48600 24.968    5.630 21.988      6.5    33.7 
PTF10weh  R  973.46700 56426.46700 23.501    1.709 21.816     25.1    39.5 
PTF10weh  R  974.45700 56427.45700 81.422   -0.962 21.517    -58.7    52.0 
PTF10weh  R  974.48700 56427.48700 76.886  -85.070 21.187     -0.9    70.5 
PTF10weh  R  978.47600 56431.47600 22.976    1.115 21.754     40.7    41.8 
PTF10weh  g  373.23700 55826.23700 80.044   -3.357 21.538    -16.5    51.0 
PTF10weh  g  376.23500 55829.23500 22.225    0.839 21.312     81.3    62.8 
PTF10weh  g  376.28000 55829.28000 23.003    1.540 21.431     39.7    56.3 
PTF10weh  g  379.20400 55832.20400 81.960   -0.543 21.600    -96.4    48.2 
PTF10weh  g  379.24800 55832.24800 81.410   -1.049 21.435    -58.1    56.1 
PTF10weh  g  382.19000 55835.19000 22.178    0.490 21.849     84.9    38.3 
PTF10weh  g  382.25200 55835.25200 22.942    1.089 21.746     42.0    42.1 
PTF10weh  g  403.12600 55856.12600 22.325    0.743 21.545     74.1    50.7 
PTF10weh  g  403.18200 55856.18200 25.320   14.973 21.278      4.7    64.8 
PTF11fzz  R -743.76100 54977.23900 80.290   -1.936 21.890    -20.7    36.9 
PTF11fzz  R -743.70600 54977.29400 79.202   -4.816 21.988     -7.6    33.7 
PTF11fzz  R -743.65500 54977.34500 22.786    0.882 21.818     48.5    39.4 
PTF11fzz  R -736.81900 54984.18100 25.367   17.400 21.162      4.5    72.1 
PTF11fzz  R -736.76400 54984.23600 22.540    0.754 21.744     60.8    42.2 
PTF11fzz  R -736.70400 54984.29600 82.460   -0.588 21.013   -152.8    82.7 
PTF11fzz  R -736.64500 54984.35500 22.214    0.907 21.216     82.1    68.6 
PTF11fzz  R -616.48600 55104.51400 22.720    1.225 21.397     51.5    58.1 
PTF11fzz  R -613.49700 55107.50300 81.572   -2.172 20.483    -67.4   134.8 
PTF11fzz  R -606.49300 55114.50700 23.348    2.401 21.293     28.9    63.9 
PTF11fzz  R -600.49200 55120.50800 27.555   95.930 21.497      0.6    53.0 
PTF11fzz  R -594.54800 55126.45200 25.367   16.097 21.247      4.5    66.7 
PTF11fzz  R -594.50500 55126.49500 22.523    0.914 21.517     61.8    52.0 
PTF11fzz  R -585.57300 55135.42700 21.595    1.239 20.259    145.2   165.7 
PTF11fzz  R -585.50200 55135.49800 21.653    0.553 21.193    137.7    70.1 
PTF11fzz  R -582.58300 55138.41700 81.271   -2.699 20.548    -51.1   127.0 
PTF11fzz  R -582.53900 55138.46100 23.140    5.079 20.272     35.0   163.7 
PTF11fzz  R -578.59300 55142.40700 22.406    1.293 21.024     68.8    81.9 
PTF11fzz  R -578.54800 55142.45200 22.781    1.693 21.107     48.7    75.9 
PTF11fzz  R -576.59800 55144.40200 22.468    1.300 21.080     65.0    77.8 
PTF11fzz  R -576.55400 55144.44600 79.049  -10.992 21.245     -6.6    66.8 
PTF11fzz  R -552.44300 55168.55700 21.533    0.609 20.968    153.8    86.2 
PTF11fzz  R -551.44700 55169.55300 21.026    0.448 20.793    245.3   101.3 
PTF11fzz  R -539.50500 55181.49500 81.940   -0.535 21.636    -94.6    46.6 
PTF11fzz  R -539.46100 55181.53900 80.598   -1.272 22.038    -27.5    32.2 
PTF11fzz  R -535.49800 55185.50200 80.618   -3.661 20.870    -28.0    94.4 
PTF11fzz  R -535.45000 55185.55000 81.935   -0.457 21.813    -94.2    39.6 
PTF11fzz  R -523.42100 55197.57900 21.827    1.171 20.552    117.3   126.5 
PTF11fzz  R -522.56100 55198.43900 23.639    3.838 21.076     22.1    78.1 
PTF11fzz  R -522.51700 55198.48300 81.664   -1.011 21.221    -73.4    68.3 
PTF11fzz  R -520.53200 55200.46800 20.657    0.758 19.854    344.6   240.5 
PTF11fzz  R -518.45900 55202.54100 82.913   -0.602 20.535   -231.9   128.5 
PTF11fzz  R -517.63900 55203.36100 79.478   -4.222 21.855     -9.8    38.1 
PTF11fzz  R -515.47100 55205.52900 80.763   -0.940 22.201    -32.0    27.7 
PTF11fzz  R -515.42500 55205.57500 24.511    3.828 21.950      9.9    34.9 
PTF11fzz  R -512.58000 55208.42000 81.597   -0.551 21.947    -69.0    35.0 
PTF11fzz  R -512.53600 55208.46400 24.968    8.153 21.586      6.5    48.8 
PTF11fzz  R -507.72400 55213.27600 21.618    2.151 19.683    142.2   281.7 
PTF11fzz  R -499.76200 55221.23800 24.024    4.204 21.362     15.5    60.0 
PTF11fzz  R -499.69700 55221.30300 26.247   29.213 21.480      2.0    53.8 
PTF11fzz  R -477.85500 55243.14500 81.584   -0.898 21.429    -68.2    56.4 
PTF11fzz  R -477.80400 55243.19600 23.406    1.859 21.629     27.4    46.9 
PTF11fzz  R -474.84700 55246.15300 22.433    2.183 20.482     67.1   134.9 
PTF11fzz  R -474.80200 55246.19800 21.731    0.672 21.059    128.1    79.3 
PTF11fzz  R -474.71900 55246.28100 81.519   -0.509 22.111    -64.2    30.1 
PTF11fzz  R -474.67300 55246.32700 81.230   -0.435 22.571    -49.2    19.7 
PTF11fzz  R -470.67700 55250.32300 80.017   -6.165 20.905    -16.1    91.4 
PTF11fzz  R -470.63100 55250.36900 81.393   -1.466 21.088    -57.2    77.2 
PTF11fzz  R -467.75800 55253.24200 81.554   -2.205 20.485    -66.3   134.6 
PTF11fzz  R -452.59700 55268.40300 23.194    0.962 22.133     33.3    29.5 
PTF11fzz  R -452.55300 55268.44700 80.336   -1.428 22.174    -21.6    28.4 
PTF11fzz  R -449.64600 55271.35400 80.958   -1.123 21.813    -38.3    39.6 
PTF11fzz  R -449.60200 55271.39800 79.633   -3.777 21.821    -11.3    39.3 
PTF11fzz  R -446.59600 55274.40400 81.677   -0.873 21.367    -74.3    59.7 
PTF11fzz  R -446.52300 55274.47700 24.119    5.101 21.247     14.2    66.7 
PTF11fzz  R -440.63800 55280.36200 81.549   -1.249 21.107    -66.0    75.9 
PTF11fzz  R -440.57000 55280.43000 82.612   -0.449 21.155   -175.7    72.6 
PTF11fzz  R -440.52700 55280.47300 80.618   -2.300 21.375    -28.0    59.3 
PTF11fzz  R -437.68800 55283.31200 21.694    0.919 20.682    132.6   112.2 
PTF11fzz  R -437.64400 55283.35600 21.175    0.701 20.457    213.7   138.0 
PTF11fzz  R -436.64000 55284.36000 24.207    5.538 21.245     13.1    66.8 
PTF11fzz  R -432.48600 55288.51400 83.517   -0.870 19.531   -404.4   324.0 
PTF11fzz  R -432.48400 55288.51600 19.870    0.657 19.223    711.4   430.1 
PTF11fzz  R -430.69800 55290.30200 23.943    1.840 22.178     16.7    28.3 
PTF11fzz  R -430.65500 55290.34500 80.537   -2.460 21.382    -26.0    58.9 
PTF11fzz  R -427.82000 55293.18000 81.169   -1.196 21.534    -46.5    51.2 
PTF11fzz  R -427.76500 55293.23500 80.441   -2.578 21.427    -23.8    56.5 
PTF11fzz  R -426.73600 55294.26400 23.563    1.191 22.270     23.7    26.0 
PTF11fzz  R -426.69300 55294.30700 23.634    1.184 22.348     22.2    24.2 
PTF11fzz  R -425.64200 55295.35800 26.096   11.332 22.357      2.3    24.0 
PTF11fzz  R -425.59800 55295.40200 22.498    0.369 22.476     63.2    21.5 
PTF11fzz  R -424.49400 55296.50600 82.623   -1.070 20.200   -177.5   174.9 
PTF11fzz  R -424.49300 55296.50700 82.082   -0.957 20.863   -107.8    95.0 
PTF11fzz  R -416.84100 55304.15900 19.590    0.496 19.249    920.2   420.0 
PTF11fzz  R -410.81500 55310.18500 22.184    1.062 21.016     84.4    82.5 
PTF11fzz  R -410.73200 55310.26800 80.024   -3.070 21.655    -16.2    45.8 
PTF11fzz  R -409.73000 55311.27000 21.772    0.368 21.754    123.4    41.8 
PTF11fzz  R -409.67600 55311.32400 22.735    1.024 21.606     50.8    47.9 
PTF11fzz  R -408.66600 55312.33400 22.409    0.760 21.604     68.6    48.0 
PTF11fzz  R -408.62200 55312.37800 21.920    0.695 21.212    107.6    68.9 
PTF11fzz  R -407.81400 55313.18600 77.365  -40.260 21.519     -1.4    51.9 
PTF11fzz  R -406.82200 55314.17800 82.326   -0.714 20.936   -135.0    88.8 
PTF11fzz  R -406.77800 55314.22200 83.610   -0.426 20.213   -440.7   172.9 
PTF11fzz  R -404.72800 55316.27200 82.756   -0.492 20.911   -200.7    90.9 
PTF11fzz  R -404.68500 55316.31500 80.346   -4.125 21.012    -21.8    82.8 
PTF11fzz  R -403.66900 55317.33100 80.108   -4.381 21.185    -17.5    70.6 
PTF11fzz  R -403.61300 55317.38700 82.393   -0.688 20.910   -143.6    91.0 
PTF11fzz  R -402.76800 55318.23200 78.449  -17.833 21.319     -3.8    62.4 
PTF11fzz  R -402.72400 55318.27600 81.187   -1.240 21.476    -47.3    54.0 
PTF11fzz  R -401.84600 55319.15400 80.966   -1.277 21.665    -38.6    45.4 
PTF11fzz  R -401.80300 55319.19700 81.783   -0.630 21.615    -81.9    47.5 
PTF11fzz  R -400.72900 55320.27100 25.609    9.804 22.027      3.6    32.5 
PTF11fzz  R -400.68500 55320.31500 23.112    0.814 22.233     35.9    26.9 
PTF11fzz  R -399.73200 55321.26800 24.249    3.267 21.861     12.6    37.9 
PTF11fzz  R -399.63900 55321.36100 81.214   -1.030 21.650    -48.5    46.0 
PTF11fzz  R -398.66800 55322.33200 81.541   -0.678 21.778    -65.5    40.9 
PTF11fzz  R -398.62400 55322.37600 79.433   -5.418 21.629     -9.4    46.9 
PTF11fzz  R -397.66800 55323.33200 81.872   -0.431 21.938    -88.9    35.3 
PTF11fzz  R -397.62400 55323.37600 25.320   10.490 21.665      4.7    45.4 
PTF11fzz  R -396.64900 55324.35100 79.603   -3.910 21.813    -11.0    39.6 
PTF11fzz  R -396.59900 55324.40100 80.725   -1.230 21.947    -30.9    35.0 
PTF11fzz  R -391.80100 55329.19900 81.101   -1.039 21.754    -43.7    41.8 
PTF11fzz  R -391.75700 55329.24300 23.079    1.620 21.452     37.0    55.2 
PTF11fzz  R -390.80400 55330.19600 23.780    1.607 22.162     19.4    28.7 
PTF11fzz  R -390.76000 55330.24000 22.735    0.834 21.830     50.8    39.0 
PTF11fzz  R -389.73500 55331.26500 80.739   -0.697 22.549    -31.3    20.1 
PTF11fzz  R -389.69100 55331.30900 22.901    0.675 22.225     43.6    27.1 
PTF11fzz  R -353.81800 55367.18200 81.128   -1.479 21.344    -44.8    61.0 
PTF11fzz  R -353.77500 55367.22500 22.577    1.249 21.232     58.8    67.6 
PTF11fzz  R -352.82100 55368.17900 81.594   -0.687 21.711    -68.8    43.5 
PTF11fzz  R -352.77700 55368.22300 79.244   -7.946 21.402     -7.9    57.8 
PTF11fzz  R -351.81300 55369.18700 81.143   -1.210 21.547    -45.4    50.6 
PTF11fzz  R -351.76800 55369.23200 80.742   -1.370 21.813    -31.4    39.6 
PTF11fzz  R -350.81400 55370.18600 79.865   -3.103 21.802    -14.0    40.0 
PTF11fzz  R -350.75900 55370.24100 80.958   -2.138 21.114    -38.3    75.4 
PTF11fzz  R -349.79900 55371.20100 23.832    2.718 21.643     18.5    46.3 
PTF11fzz  R -349.75600 55371.24400 80.290   -2.392 21.660    -20.7    45.6 
PTF11fzz  R -348.80000 55372.20000 21.399    0.346 21.448    173.9    55.4 
PTF11fzz  R -348.75700 55372.24300 23.237    1.683 21.568     32.0    49.6 
